NG_NumOfSpecies,NG_NumOfReactions,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,NG_StoichiometricUpdatesMIN,NG_StoichiometricUpdatesMEAN,NG_StoichiometricUpdatesMAX,NG_StoichiometricUpdatesSUM,ModelChecker
66,78,5148,2,2.128205128,3,166,2,2.128205128,3,166,PLASMA
77,69,5313,2,2.985507246,4,206,2,2.985507246,4,206,PLASMA
54,80,4320,2,3.1875,5,255,2,3.1875,5,255,PLASMA
80,75,6000,2,3.12,5,234,2,3.12,5,234,PLASMA
75,94,7050,2,2.14893617,3,202,2,2.14893617,3,202,PLASMA
49,51,2499,2,2.980392157,4,152,2,2.980392157,4,152,PLASMA
75,91,6825,2,2.582417582,4,235,2,2.582417582,4,235,PLASMA
39,94,3666,2,3.478723404,6,327,2,3.478723404,6,327,PLASMA
48,69,3312,2,2.405797101,3,166,2,2.405797101,3,166,PLASMA
61,98,5978,2,3.142857143,16,308,2,3.142857143,16,308,PLASMA
58,93,5394,2,3.397849462,5,316,2,3.397849462,5,316,PLASMA
81,109,8829,2,2.52293578,4,275,2,2.52293578,4,275,PLASMA
59,58,3422,2,2.879310345,3,167,2,2.879310345,3,167,PLASMA
102,110,11220,2,2.9,6,319,2,2.9,6,319,PLASMA
124,109,13516,2,2.055045872,4,224,2,2.055045872,4,224,PLASMA
118,102,12036,2,3.166666667,4,323,2,3.166666667,4,323,PLASMA
96,65,6240,2,4.046153846,8,263,2,4.046153846,8,263,PLASMA
112,115,12880,2,2.095652174,3,241,2,2.095652174,3,241,PLASMA
112,115,12880,2,2.095652174,3,241,2,2.095652174,3,241,PLASMA
113,116,13108,2,2.094827586,3,243,2,2.094827586,3,243,PLASMA
64,120,7680,2,2.958333333,3,355,2,2.958333333,3,355,PLASMA
64,63,4032,2,2.873015873,3,181,2,2.873015873,3,181,PLASMA
64,65,4160,2,2.861538462,3,186,2,2.861538462,3,186,PLASMA
95,125,11875,2,2.8,3,350,2,2.8,3,350,PLASMA
95,125,11875,2,2.8,3,350,2,2.8,3,350,PLASMA
61,138,8418,2,2.65942029,3,367,2,2.65942029,3,367,PLASMA
73,82,5986,2,2.756097561,3,226,2,2.756097561,3,226,PLASMA
75,79,5925,2,2.873417722,3,227,2,2.873417722,3,227,PLASMA
81,81,6561,2,2.851851852,3,231,2,2.851851852,3,231,PLASMA
120,133,15960,2,2.714285714,5,361,2,2.714285714,5,361,PLASMA
75,152,11400,2,2.960526316,3,450,2,2.960526316,3,450,PLASMA
79,90,7110,2,2.955555556,3,266,2,2.955555556,3,266,PLASMA
97,150,14550,2,2.733333333,4,410,2,2.733333333,4,410,PLASMA
119,151,17969,2,2.609271523,3,394,2,2.609271523,3,394,PLASMA
91,99,9009,2,2.757575758,3,273,2,2.757575758,3,273,PLASMA
108,117,12636,2,2.914529915,3,341,2,2.914529915,3,341,PLASMA
